team,color,color2
San Diego,#2f99d4,#2f99d4
San Francisco,#22523F,#fbcd3c
San José St,#005893,#fdba31
Santa Clara,#690b0b,#101010
Seattle U,#BF2E1A,#c2c3c0
Seton Hall,#0857B1,#8a8d8f
Siena,#037961,#eea60f
South Alabama,#003E7E,#000000
South Carolina,#670010,#000000
South Carolina State,#7d1315,#104897
South Carolina Upstate,#008545,#000000
South Dakota,#CD1241,#f0f0f0
South Dakota State,#005DAB,#c33139
South Florida,#004A36,#231f20
Southeast Missouri State,#cc0000,#080808
Southern Illinois,#85283D,#c2c3c0
Southern,#004B97,#ffc82d
Southern Miss,#FFAA3C,#ffc423
Southern Utah,#d10000,#c2c3c0
St. Bonaventure,#70261D,#000000
St. Francis (BKN),#113682,#000000
St. Francis (PA),#a20012,#000000
St. John's,#d10000,#101010
Stanford,#A80532,#ffffff
Stephen F. Austin,#393996,#bec0c2
Stetson,#0a5640,#56854e
Stony Brook,#990000,#000000
Syracuse,#F37321,#0d1d37
TCU,#3C377D,#f1f2f3
Tarleton,#000000,#000000
Temple,#A80532,#a7a9ac
Tennessee State,#383C84,#f0f0f0
Tennessee Tech,#5A4099,#ffde00
Tennessee,#EE9627,#ffffff
Texas A&M,#5C0025,#ffffff
Texas A&M-CC,#00639c,#008752
Texas,#EE7524,#f0f0f0
Texas Southern,#6A0403,#ebebeb
Texas State,#4e1719,#b4975a
Texas Tech,#C80025,#231f20
The Citadel,#002b5c,#f0f0f0
Toledo,#ffffff,#ffd51d
Towson,#FFC229,#000000
Troy,#AE0210,#88898c
Tulane,#005837,#3baf29
Tulsa,#004371,#ee3b33
UAB,#054338,#ffc845
UC Davis,#183563,#bc9305
UC Irvine,#002B5C,#fec52e
UC Riverside,#14234F,#000000
UC San Diego,#000000,#000000
UC Santa Barbara,#1D1160,#fdb813
UCF,#000000,#231f20
UCLA,#005C8E,#ffc72c
UConn,#001d40,#f1f2f3
UIC,#234077,#c30031
UL Monroe,#231F20,#b18445
UM Kansas City,#004b87,#ffc72c
UMBC,#000000,#ad860a
UMass Lowell,#00529C,#cf1f2f
UMass,#880007,#000000
UNC Asheville,#156199,#c2c3c0
UNC Greensboro,#003559,#ffd90a
UNC Wilmington,#1d2f68,#00665e
UNLV,#000000,#c2c4c6
USC,#AE2531,#ffc72c
UT Arlington,#004b7c,#f58024
UT Martin,#FF6700,#102a5c
UT Rio Grande Valley,#dc6000,#e1732d
UTEP,#ff8200,#041e42
UTSA,#002A5C,#f47321
Utah State,#003263,#949ca1
Utah,#890012,#7e8083
Utah Valley,#004812,#e1c736
VCU,#929292,#edb71d
VMI,#E52D37,#eec52b
Valparaiso,#794500,#000000
Vanderbilt,#000000,#231f20
Vermont,#013C24,#ffc72c
Villanova,#123d7C,#f0f0f0
Virginia,#f84c1e,#ffffff
Virginia Tech,#74232D,#c2c1ba
Wagner,#00483A,#ffffff
Wake Forest,#9E7E38,#000000
Washington,#2B2F64,#e8e3d3
Washington State,#94022a,#6a747c
Weber State,#18005a,#ebebeb
West Virginia,#FFC600,#eaaa00
Western Carolina,#492F91,#bf9e70
Western Illinois,#4e1e8a,#ffc90a
Western Kentucky,#F32026,#b3b5b8
Western Michigan,#B59966,#bfa979
Wichita State,#0d0a03,#ffc41e
William & Mary,#103217,#f6b220
Winthrop,#9e0b0e,#fdb41e
Wisconsin,#A00002,#f7f7f7
Wofford,#533B22,#f0f0f0
Wright State,#E9AF10,#e2b629
Wyoming,#533B22,#ffffff
Xavier,#002144,#9ea2a2
Yale,#004a81,#286dc0
Youngstown State,#E51935,#690717
