team,team_id,mascot,nickname,abbreviation,display_name,short_name,logo,logo_dark,lng,lat,conference
Texas A&M,245,Aggies,Texas A&M,TA&M,Texas A&M Aggies,Texas A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png,-96.3344,30.628,Southeastern Conference
Creighton,156,Bluejays,Creighton,CREI,Creighton Bluejays,Creighton,https://a.espncdn.com/i/teamlogos/ncaa/500/156.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/156.png,-96.00502,41.25778,Big East Conference
Omaha,2437,Mavericks,Omaha,OMA,Omaha Mavericks,Omaha,https://a.espncdn.com/i/teamlogos/ncaa/500/2437.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2437.png,-96.00502,41.25778,The Summit League
Oral Roberts,198,Golden Eagles,Oral Roberts,ORU,Oral Roberts Golden Eagles,Oral Roberts,https://a.espncdn.com/i/teamlogos/ncaa/500/198.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/198.png,-95.96681,36.13447,The Summit League
Tulsa,202,Golden Hurricane,Tulsa,TLSA,Tulsa Golden Hurricane,Tulsa,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/202.png,-95.96681,36.13447,American Athletic Conference
Sam Houston,2534,Bearkats,Sam Houston St,SHSU,Sam Houston State Bearkats,Sam Houston St,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2534.png,-95.54662,30.72262,Southland Conference[a]
Houston,248,Cougars,Houston,HOU,Houston Cougars,Houston,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/248.png,-95.31593,29.69394,American Athletic Conference
Houston Baptist,2277,Huskies,Houston Baptist,HBU,Houston Baptist Huskies,Houston Baptist,https://a.espncdn.com/i/teamlogos/ncaa/500/2277.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2277.png,-95.31593,29.69394,Southland Conference
Rice,242,Owls,Rice,RICE,Rice Owls,Rice,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/242.png,-95.31593,29.69394,Conference USA
Texas Southern,2640,Tigers,Texas Southern,TXSO,Texas Southern Tigers,Texas Southern,https://a.espncdn.com/i/teamlogos/ncaa/500/2640.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2640.png,-95.31593,29.69394,Southwestern Athletic Conference
Kansas,2305,Jayhawks,Kansas,KU,Kansas Jayhawks,Kansas,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2305.png,-95.2458,38.95909,Big 12 Conference
Stephen F. Austin,2617,Lumberjacks,SF Austin,SFA,Stephen F. Austin Lumberjacks,SF Austin,https://a.espncdn.com/i/teamlogos/ncaa/500/2617.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2617.png,-94.6821,31.64183,Southland Conference[a]
UM Kansas City,140,Roos,UM Kansas City,UMKC,UM Kansas City Roos,UM Kansas City,https://a.espncdn.com/i/teamlogos/ncaa/500/140.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/140.png,-94.57857,39.09973,The Summit League
Arkansas,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png,-94.18112,36.06167,Southeastern Conference
Lamar,2320,Cardinals,Lamar,LAM,Lamar Cardinals,Lamar,https://a.espncdn.com/i/teamlogos/ncaa/500/2320.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2320.png,-94.11983,30.07065,Southland Conference[a]
Iowa State,66,Cyclones,Iowa State,ISU,Iowa State Cyclones,Iowa State,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/66.png,-93.70558,42.11484,Big 12 Conference
Drake,2181,Bulldogs,Drake,DRKE,Drake Bulldogs,Drake,https://a.espncdn.com/i/teamlogos/ncaa/500/2181.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2181.png,-93.66067,41.62768,Missouri Valley Conference[c]
Minnesota,135,Golden Gophers,Minnesota,MINN,Minnesota Golden Gophers,Minnesota,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/135.png,-93.23475,44.97593,Big Ten Conference
McNeese,2377,Cowboys,McNeese,MCNS,McNeese Cowboys,McNeese,https://a.espncdn.com/i/teamlogos/ncaa/500/2377.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2377.png,-93.21565,30.18076,Southland Conference
Northwestern State,2466,Demons,Northwestern St,NWST,Northwestern State Demons,Northwestern St,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2466.png,-93.10945,31.74362,Southland Conference
Grambling,2755,Tigers,Grambling,GRAM,Grambling Tigers,Grambling,https://a.espncdn.com/i/teamlogos/ncaa/500/2755.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2755.png,-92.71737,32.5227,Southwestern Athletic Conference
Louisiana Tech,2348,Bulldogs,Louisiana Tech,LT,Louisiana Tech Bulldogs,Louisiana Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2348.png,-92.64717,32.5383,Conference USA
Northern Iowa,2460,Panthers,Northern Iowa,UNI,Northern Iowa Panthers,Northern Iowa,https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2460.png,-92.45964,42.5126,Missouri Valley Conference[k]
Central Arkansas,2110,Bears,Cent Arkansas,UCA,Central Arkansas Bears,Cent Arkansas,https://a.espncdn.com/i/teamlogos/ncaa/500/2110.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2110.png,-92.4571,35.07925,Southland Conference[e]
Little Rock,2031,Trojans,Little Rock,UALR,Little Rock Trojans,Little Rock,https://a.espncdn.com/i/teamlogos/ncaa/500/2031.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2031.png,-92.34126,34.72176,Sun Belt Conference
