team,Conf,Week,value,team_id,mascot,nickname,abbreviation,display_name,short_name,color,alternate_color,logo,logo_dark
Arizona State,Pac-12,3,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arizona State,Pac-12,4,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arizona State,Pac-12,13,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arizona State,Pac-12,14,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arizona State,Pac-12,11,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arizona State,Pac-12,12,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arizona State,Pac-12,17,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arizona State,Pac-12,15,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arizona State,Pac-12,16,11,9,Sun Devils,Arizona State,ASU,Arizona State Sun Devils,Arizona St.,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png
Arkansas,SEC,3,11,8,Razorbacks,Arkansas,ARK,Arkansas Razorbacks,Arkansas,9c1831,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png
