team,n_games,avg_expected_mov,avg_actual_mov,avg_perf_v_spread,color,logos,conference
Old Dominion,5,-11.4,-5.6,5.8,#00507d,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png,Conference USA
Ole Miss,4,11.25,18.75,7.5,#001148,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png,SEC
Oregon,5,16.9,14,-2.9,#044520,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,Pac-12
Oregon State,4,-1.12,7.5,8.62,#c34500,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png,Pac-12
Penn State,5,12.6,18,5.4,#00265D,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png,Big Ten
Pittsburgh,5,17.5,29.8,12.3,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,ACC
Purdue,5,9.5,8.2,-1.3,#B89D29,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Big Ten
Rice,5,-2.9,-19.4,-16.5,#003D7D,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png,Conference USA
Rutgers,5,0.2,8.6,8.4,#d21034,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,Big Ten
San Diego State,4,11.12,17.75,6.62,#BF2C37,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png,Mountain West
San José State,5,9,-0.4,-9.4,#005893,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png,Mountain West
SMU,5,15.4,20.8,5.4,#E32F38,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,American Athletic
South Alabama,4,6.5,8,1.5,#003E7E,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png,Sun Belt
South Carolina,5,0.9,5,4.1,#670010,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,SEC
South Florida,5,-13.9,-15.6,-1.7,#004A36,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png,American Athletic
Southern Mississippi,5,-7.3,-10.6,-3.3,#FFAA3C,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,Conference USA
Stanford,5,-4.1,2.2,6.3,#A80532,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,Pac-12
Syracuse,5,1,9.6,8.6,#F37321,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png,ACC
TCU,4,14.75,7.75,-7,#3C377D,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,Big 12
Temple,5,0.6,-2.8,-3.4,#A80532,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,American Athletic
Tennessee,5,10,19,9,#EE9627,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,SEC
Texas,5,10.7,19.8,9.1,#EE7524,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,Big 12
Texas A&M,5,17.6,10.8,-6.8,#5C0025,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png,SEC
Texas State,4,-3.12,-11.75,-8.62,#4e1719,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png,Sun Belt
Texas Tech,5,6.6,4.8,-1.8,#C80025,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,Big 12
Toledo,5,13.8,13.6,-0.2,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,Mid-American
Troy,5,10,6.8,-3.2,#AE0210,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,Sun Belt
Tulane,6,0.25,-7.33,-7.58,#005837,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,American Athletic
Tulsa,5,0.7,-11.2,-11.9,#004371,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png,American Athletic
UAB,5,1.4,-0.2,-1.6,#003b28,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png,Conference USA
UCF,3,9.5,-2,-11.5,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,American Athletic
UCLA,5,6.7,6.8,0.1,#005C8E,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png,Pac-12
UMass,5,-32.3,-32.6,-0.3,#880007,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png,FBS Independents
UNLV,5,-24,-17.8,6.2,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,Mountain West
USC,5,11.7,9,-2.7,#ffc72c,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png,Pac-12
UT San Antonio,5,12.7,17,4.3,#002A5C,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,Conference USA
Utah,4,14.88,5.75,-9.12,#890012,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,Pac-12
Utah State,5,-7.4,-1.4,6,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png,Mountain West
UTEP,4,-3.12,0,3.12,#ff8200,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,Conference USA
Vanderbilt,5,-3.9,-19,-15.1,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png,SEC
Virginia,5,6.7,6.6,-0.1,#f84c1e,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png,ACC
Virginia Tech,4,10.38,8.25,-2.12,#74232D,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,ACC
Wake Forest,5,16.7,20.2,3.5,#9E7E38,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png,ACC
Washington,5,7.7,5.2,-2.5,#2B2F64,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png,Pac-12
Washington State,5,3.7,-2,-5.7,#94022a,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png,Pac-12
West Virginia,4,-1.38,-1.5,-0.12,#FFC600,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png,Big 12
Western Kentucky,3,-8.67,-7.33,1.33,#F32026,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png,Conference USA
Western Michigan,5,-1.8,5,6.8,#532e1f,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,Mid-American
Wisconsin,4,10,-7,-17,#A00001,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Big Ten
Wyoming,4,16,11.25,-4.75,#533B22,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,Mountain West
