team,n_games,avg_expected_mov,avg_actual_mov,avg_perf_v_spread,color,logos,conference
Ohio,3,-0.67,-10.67,-10,#295A29,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png,Mid-American
Ohio State,5,23.4,23.8,0.4,#DE3121,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,Big Ten
Oklahoma,4,20.88,5.25,-15.62,#7b0000,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,Big 12
Oklahoma State,4,4.62,6.75,2.12,#FF6500,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,Big 12
Old Dominion,4,-19.62,-17,2.62,#00507d,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png,Conference USA
Ole Miss,3,2.67,12.67,10,#001148,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png,SEC
Oregon,4,10.62,7.25,-3.38,#044520,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,Pac-12
Oregon State,4,-1.12,7.5,8.62,#c34500,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png,Pac-12
Penn State,4,8.38,17.25,8.88,#00265D,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png,Big Ten
Pittsburgh,4,14.62,19.75,5.12,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,ACC
Purdue,5,9.5,8.2,-1.3,#B89D29,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Big Ten
Rice,4,-12.88,-27.75,-14.88,#003D7D,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png,Conference USA
Rutgers,4,-4.75,2.75,7.5,#d21034,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,Big Ten
San Diego State,3,7.17,14.67,7.5,#BF2C37,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png,Mountain West
San José State,4,4.25,-8.25,-12.5,#005893,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png,Mountain West
SMU,4,11.25,14.25,3,#E32F38,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,American Athletic
South Alabama,3,1.5,8.33,6.83,#003E7E,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png,Sun Belt
South Carolina,4,-6.75,-5.25,1.5,#670010,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,SEC
South Florida,4,-23,-24.75,-1.75,#004A36,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png,American Athletic
